Tx	Ty	Tz
-0.0057	-0.0587	0.0717
-0.0057	-0.0587	0.0717
-0.0057	-0.0587	0.0717
-0.167	0.2199	0.1743
-0.0057	-0.0587	0.0717
-0.0057	-0.0587	0.0717
-0.0057	0.1271	0.0701
0.0024	0	0.1059
-0.0057	-0.0587	0.0717
-0.0057	-0.0587	0.0717
-0.0595	0.0342	0.1059
-0.0057	0.1271	0.0701
-0.0057	-0.0587	0.0717
0.0024	0	0.1059
0.0481	0.0342	0.0358
-0.0057	-0.0587	0.0717
-0.1157	-0.0587	0.0358
-0.0057	0.1271	0.0701
0.1018	-0.0587	0.0016
-0.0595	0.0342	0.1059
0.0024	0	0.1059
-0.0595	0.0342	0.1059
-0.0595	0.0342	0.1059
-0.0057	-0.0587	0.0717
-0.0595	0.0342	0.1059
-0.0057	-0.0587	0.0717
0.0505	0.0342	0.1417
-0.1132	-0.0587	0.1417
-0.1694	0.0342	0.0701
-0.0595	0.0342	0.1059
-0.0057	-0.0587	0.0717
-0.0595	0.0342	0.1059
-0.1157	-0.0587	0.0358
0.0024	0	0.1059
-0.0595	0.0342	0.1059
-0.1157	-0.0587	0.0358
-0.1694	0.0342	0.0701
-0.0057	0.1271	0.0701
0.0505	0.0342	0.1417
-0.0595	0.0342	0.1059
-0.0595	0.0342	0.1059
-0.0057	-0.0587	0.0717
-0.0595	0.0342	0.1059
-0.0057	-0.0587	0.0717
0.1181	-0.1271	0.0717
0.2704	0.0342	0.2134
0.11	-0.1857	0.0375
-0.0595	-0.1515	0.1075
-0.0114	0.0684	0.1417
-0.0595	0.0342	0.1059
-0.0513	-0.0929	0.1417
0.0481	0.0342	0.0358
-0.1132	-0.0587	0.1417
-0.2313	0.0684	0.0701
0.0481	-0.1515	0.0375
-0.1751	-0.0244	0.1417
-0.0057	0.1271	0.0701
0.0024	0	0.1059
-0.0595	-0.1515	0.1075
0.0481	0.0342	0.0358
-0.0057	0.1271	0.0701
-0.1132	0.1271	0.1401
-0.0595	0.0342	0.1059
0.0505	0.0342	0.1417
0.0024	0	0.1059
-0.0676	0.1613	0.0701
0.1043	-0.0587	0.1075
0.1043	-0.0587	0.1075
0.1043	-0.0587	0.1075
-0.0057	-0.0587	0.0717
-0.0595	0.0342	0.1059
0.0481	-0.1515	0.0375
0.0481	0.0342	0.0358
-0.0676	-0.0244	0.0717
-0.0138	0.0684	0.0358
-0.0595	0.2199	0.1043
-0.0595	0.0342	0.1059
-0.0595	0.0342	0.1059
-0.0057	-0.0587	0.0717
0.0562	-0.0929	0.0717
0.0481	0.0342	0.0358
0.0024	0	0.1059
0.0505	-0.1515	0.1434
-0.0057	-0.0587	0.0717
-0.1157	-0.0587	0.0358
-0.1214	0.0684	0.1059
-0.0676	-0.2102	0.0733
-0.0057	0.1271	0.0701
0.1662	0.0929	0.1059
0.0481	0.0342	0.0358
0.0481	0.0342	0.0358
-0.0538	-0.2786	0.0375
-0.0595	0.0342	0.1059
0.1124	0	0.1417
-0.0057	-0.0587	0.0717
-0.0595	0.0342	0.1059
0.1043	-0.0587	0.1075
0.0481	0.0342	0.0358
-0.0057	-0.2444	0.0733
-0.1132	0.1271	0.1401
-0.1132	-0.0587	0.1417
0.0505	0.0342	0.1417
-0.0033	-0.0587	0.1776
-0.1132	-0.0587	0.1417
-0.0595	0.0342	0.1059
0.1043	-0.0587	0.1075
-0.0595	0.0342	0.1059
-0.0057	-0.0587	0.0717
-0.0057	-0.0587	0.0717
-0.1694	0.0342	0.0701
-0.0595	0.0342	0.1059
-0.0057	0.1271	0.0701
-0.0057	-0.0587	0.0717
0.1043	-0.0587	0.1075
-0.0114	0.0684	0.1417
-0.1132	-0.0587	0.1417
-0.0114	0.0684	0.1417
-0.1132	-0.0587	0.1417
-0.0057	0.1271	0.0701
-0.1051	0	0.176
-0.1132	-0.0587	0.1417
0.1043	-0.0587	0.1075
-0.0676	-0.0244	0.0717
-0.0595	0.0342	0.1059
-0.0057	-0.0587	0.0717
-0.0595	0.0342	0.1059
0.1043	-0.0587	0.1075
