Tx	Ty	Tz
-0.0619	0.0342	0
-0.0668	0.0896	0.0701
-0.0529	-0.1645	0.0358
-0.1075	0	0.0701
-0.1116	-0.202	0.1417
-0.1149	0.0554	0.0342
-0.0611	-0.0375	0
-0.0619	0.0342	0
-0.1157	0.1271	0.0342
-0.1678	-0.1092	0.0701
-0.0619	0.0342	0
-0.1149	-0.1303	0.0358
0.0538	-0.0929	-0.0342
-0.0138	0.0684	0.0358
-0.1075	-0.1857	0.0717
-0.0538	-0.0929	0.0358
-0.2248	-0.1303	0
-0.2786	-0.0375	0.0342
-0.0529	-0.1645	0.0358
-0.1149	-0.1303	0.0358
0.0008	-0.0717	0
-0.0057	-0.0587	0.0717
-0.1075	0	0.0701
-0.1165	0.013	0.0358
-0.0595	0.0342	0.1059
-0.0611	-0.0375	0
-0.0049	-0.1303	0.0717
0.057	-0.1645	0.0717
-0.1768	0.0896	0.0342
-0.0057	-0.0587	0.0717
-0.1149	-0.1303	0.0358
0	0	0
-0.1149	-0.1303	0.0358
0.0489	-0.0375	0.0358
0.0489	-0.0375	0.0358
-0.0668	-0.0961	0.0717
0.1637	-0.0929	0.0016
0.0546	-0.1646	-0.0342
0.0627	-0.1059	0
-0.1686	-0.2232	0.0717
-0.0057	0.1271	0.0701
0.0008	-0.0717	0
-0.0073	-0.1303	-0.0342
0.0497	-0.1092	0.0358
-0.0049	-0.1303	0.0717
0.0008	-0.0717	0
0.0489	-0.0375	0.0358
-0.0049	-0.1303	0.0717
-0.1157	-0.0587	0.0358
-0.1149	-0.1303	0.0358
-0.1149	-0.1303	0.0358
-0.0057	-0.0587	0.0717
-0.1149	-0.1303	0.0358
-0.1157	-0.0587	0.0358
0.0489	-0.2232	0.0375
-0.1686	-0.0375	0.0701
-0.0529	-0.1645	0.0358
0.0024	0	0.1059
-0.1157	-0.0587	0.0358
-0.0057	-0.0587	0.0717
-0.1149	-0.1303	0.0358
-0.0049	-0.1303	0.0717
-0.1157	-0.0587	0.0358
-0.1206	-0.189	0.1075
0	0	0
-0.0057	0.1271	0.0701
0.0481	0.0342	0.0358
0.0489	-0.2232	0.0375
0	-0.1857	0.0016
-0.0138	0.0684	0.0358
0.0481	0.0342	0.0358
-0.1157	-0.0587	0.0358
0	0	0
-0.0611	-0.0375	0
0	0	0
-0.0619	0.0342	0
-0.1149	-0.1303	0.0358
-0.0057	-0.0587	0.0717
-0.1067	-0.0717	0.0701
0.0546	-0.1646	-0.0342
-0.1149	0.0554	0.0342
0.0489	-0.0375	0.0358
-0.1149	-0.1303	0.0358
0.0481	0.0342	0.0358
-0.1157	-0.0587	0.0358
0.0489	-0.2232	0.0375
-0.0057	-0.0587	0.0717
0.0562	-0.0929	0.0717
-0.1075	0	0.0701
0.0489	-0.0375	0.0358
-0.0538	-0.0929	0.0358
0.0008	-0.0717	0
-0.0049	-0.1303	0.0717
-0.0668	-0.0961	0.0717
-0.2248	-0.1303	0
-0.0456	-0.0342	0.0701
-0.0587	-0.0375	0.1059
-0.0611	-0.0375	0
-0.0619	0.0342	0
-0.1075	0	0.0701
-0.2305	-0.0033	0.0701
0.1018	-0.0587	0.0016
-0.1075	0	0.0701
0.1043	-0.0587	0.1075
0.0481	0.0342	0.0358
-0.0619	-0.1515	0.0016
-0.1157	-0.0587	0.0358
-0.0619	0.0342	0
-0.1075	0	0.0701
-0.1776	-0.0244	0.0358
-0.1149	-0.1303	0.0358
0.0489	-0.0375	0.0358
-0.0008	0.0717	0
-0.0595	0.0342	0.1059
-0.0049	-0.1303	0.0717
-0.1149	-0.1303	0.0358
0.0481	-0.1515	0.0375
-0.1719	0.0342	-0.0358
-0.0057	-0.0587	0.0717
0.0489	-0.2232	0.0375
0.1083	0.114	-0.0717
-0.1173	-0.1303	-0.0701
-0.1157	-0.0587	0.0358
-0.1149	-0.1303	0.0358
0.0008	-0.0717	0
-0.1149	-0.1303	0.0358
-0.0049	0.0554	0.0701
-0.1149	-0.1303	0.0358
-0.0611	-0.2232	0.0016
-0.0057	-0.0587	0.0717
0.0024	0	0.1059
-0.0587	-0.0375	0.1059
-0.0049	-0.1303	0.0717
-0.1157	-0.0587	0.0358
-0.0619	0.0342	0
0.1108	-0.0717	0.0358
-0.1157	-0.0587	0.0358
-0.0587	-0.0375	0.1059
0.0481	0.0342	0.0358
0.0562	-0.0929	0.0717
0.0546	0.2069	-0.0375
-0.1149	-0.1303	0.0358
-0.1157	0.1271	0.0342
-0.1157	-0.0587	0.0358
-0.0049	-0.1303	0.0717
-0.2786	-0.0375	0.0342
-0.1703	0.1059	0.0701
-0.1711	-0.0375	-0.0358
0.0407	-0.0961	0.0016
0.057	0.0212	0.0701
-0.1149	0.0554	0.0342
0.0489	-0.0375	0.0358
-0.0138	0.0684	0.0358
0	-0.1857	0.0016
-0.1149	-0.1303	0.0358
0	0	0
0.0024	0	0.1059
-0.1719	0.0342	-0.0358
-0.1719	0.0342	-0.0358
0.0008	-0.0717	0
0.057	-0.1645	0.0717
-0.1157	-0.0587	0.0358
-0.2256	0.1271	-0.0016
0.0481	0.0342	0.0358
-0.0619	0.0342	0
-0.2256	-0.0587	0
-0.0057	-0.0587	0.0717
0.0489	-0.0375	0.0358
0.0008	-0.0717	0
-0.0057	-0.0587	0.0717
