Tx	Ty	Tz
0.0538	0.0929	-0.0358
-0.1075	0	0.0701
-0.0627	0.1059	0
-0.1157	0.1271	0.0342
-0.0538	0.0929	0.0342
-0.0546	0.1646	0.0342
-0.0538	0.0929	0.0342
-0.0538	0.0929	0.0342
-0.053	0.0212	0.0342
0.0033	-0.0717	0.1059
-0.1694	0.2199	0.0684
0.0562	0.0929	0.0701
0.0562	0.0929	0.0701
0.057	0.0212	0.0701
0.0041	0.0424	0.1043
-0.1149	0.0554	0.0342
-0.0057	0.1271	0.0701
-0.1075	0	0.0701
-0.0538	0.0929	0.0342
-0.0081	0.1271	-0.0358
-0.1165	0.1988	0.0342
-0.1181	0.1271	-0.0717
-0.1189	0.1988	-0.0717
-0.1157	0.1271	0.0342
-0.11	0.1857	-0.0375
-0.1719	0.0342	-0.0358
0.0538	0.0929	-0.0358
-0.2256	0.1271	-0.0016
0.0472	0.1059	0.0358
-0.0546	0.1646	0.0342
-0.0546	-0.0212	0.0358
-0.0529	-0.1645	0.0358
0	0	0
-0.2256	0.1271	-0.0016
-0.1694	0.2199	0.0684
0.057	0.0212	0.0701
-0.0587	-0.0375	0.1059
-0.1132	0.1271	0.1401
-0.1605	0.0212	0.1043
-0.0538	0.0929	0.0342
-0.2175	0	0.0342
-0.1067	-0.0717	0.0701
-0.1694	0.2199	0.0684
-0.053	0.0212	0.0342
-0.1637	0.0929	-0.0016
-0.0081	-0.0587	-0.0342
-0.2256	0.1271	-0.0016
-0.2313	0.0684	0.0701
-0.0619	0.0342	0
-0.0008	0.0717	0
-0.1157	0.1271	0.0342
-0.1181	0.1271	-0.0717
-0.2256	0.1271	-0.0016
-0.0538	-0.0929	0.0358
-0.0611	0.1483	-0.0016
-0.0619	0.0342	0
0	0	0
-0.1157	-0.0587	0.0358
-0.1067	0.114	0.0684
0.0008	0.114	-0.0016
-0.3242	0.114	0.1026
-0.1629	0.0212	-0.0016
-0.053	0.0212	0.0342
0.0024	0	0.1059
0.1189	-0.013	0.0701
-0.0057	0.1271	0.0701
-0.2794	0.0342	0.0342
-0.0587	-0.0375	0.1059
-0.0668	0.0896	0.0701
-0.2794	0.2199	0.0326
-0.0619	0.2199	-0.0016
-0.0538	0.0929	0.0342
-0.1686	0.1483	0.0684
0.11	0	0.0358
-0.0057	0.1271	0.0701
-0.1727	0.1059	-0.0358
-0.3503	0.2672	-0.0016
-0.2256	-0.0587	0
-0.0562	-0.0929	-0.0701
-0.11	0	-0.0358
-0.053	0.0212	0.0342
0	0	0
0	0	0
-0.0538	0.0929	0.0342
-0.1694	0.0342	0.0701
-0.1149	0.0554	0.0342
-0.0538	-0.0929	0.0358
-0.1124	0.0554	0.1401
-0.1686	-0.0375	0.0701
-0.1149	0.0554	0.0342
-0.0049	0.0554	0.0701
-0.1075	0.1857	0.0684
-0.1124	0.0554	0.1401
-0.1214	0.2542	0.1043
-0.1686	-0.0375	0.0701
-0.0538	0.0929	0.0342
-0.1149	0.0554	0.0342
0.057	-0.1645	0.0717
0.0033	0.114	0.1043
0.057	0.0212	0.0701
0.0024	0.1857	0.1043
-0.1149	-0.1303	0.0358
-0.2786	-0.0375	0.0342
-0.0595	0.2199	0.1043
-0.0676	0.1613	0.0701
0.0481	0.0342	0.0358
-0.2794	0.0342	0.0342
-0.1157	0.1271	0.0342
0	0	0
-0.1686	-0.0375	0.0701
-0.1149	0.2411	0.0326
-0.2224	0.2411	0.1026
-0.1149	0.0554	0.0342
0.0008	-0.0717	0
-0.1157	0.1271	0.0342
-0.0057	0.1271	0.0701
-0.1662	-0.0375	0.176
-0.1613	0.0929	0.1043
-0.0513	0.0929	0.1401
-0.0049	0.0554	0.0701
0.2794	0.0212	0.2476
-0.1051	0.1857	0.1743
0.0024	0	0.1059
-0.1051	0.1857	0.1743
-0.2224	0.0554	0.1043
0.1051	0.0554	0.1059
-0.0578	0.0766	0.1043
-0.1149	-0.1303	0.0358
0.057	0.0212	0.0701
-0.0595	0.0342	0.1059
-0.2224	0.0554	0.1043
-0.1694	0.0342	0.0701
0.0562	0.0929	0.0701
-0.0513	0.0929	0.1401
-0.1686	0.1483	0.0684
-0.2794	0.0342	0.0342
