Tx	Ty	Tz
0.11	0	0.0358
-0.1157	0.1271	0.0342
0	0	0
-0.053	0.0212	0.0342
0	0	0
-0.1067	-0.0717	0.0701
0.0008	-0.0717	0
-0.1124	-0.1303	0.1417
-0.1067	-0.0717	0.0701
0.1189	-0.1988	0.0717
-0.1206	-0.0033	0.1059
0.1751	-0.1059	0.1417
-0.0538	0.0929	0.0342
0.0041	0.0424	0.1043
-0.0057	0.1271	0.0701
0.0562	0.0929	0.0701
0.0562	0.0929	0.0701
-0.1149	0.0554	0.0342
0.11	0	0.0358
-0.0611	-0.0375	0
0	0	0
0.0619	-0.0342	0
-0.0619	0.0342	0
0.0024	0	0.1059
-0.1637	0.0929	-0.0016
0	0	0
0	0	0
0.0081	0.0587	0.0342
-0.1092	-0.0717	-0.0358
0.066	-0.1776	0.1059
0	0	0
-0.1637	0.0929	-0.0016
-0.0529	-0.1645	0.0358
0.057	0.0212	0.0701
-0.0587	-0.0375	0.1059
0.0041	0.0424	0.1043
0.0024	0	0.1059
-0.1686	-0.0375	0.0701
0.0033	0.114	0.1043
0.0106	0.0587	0.1401
0.057	-0.1645	0.0717
-0.1067	-0.0717	0.0701
-0.0587	0.1483	0.1043
0.1727	-0.1059	0.0358
0.0033	0.114	0.1043
0.1157	-0.1271	-0.0342
0.2199	0	0.0717
-0.053	0.0212	0.0342
0.1637	0.0929	-0
0.009	-0.1988	0.0358
-0.1067	0.114	0.0684
-0.2175	0.1857	0.0326
0.0611	0.0375	0
0	0	0
-0.1238	0.0684	0
0.0619	-0.0342	0
0	0	0
0.0603	-0.1059	-0.1059
0.0619	-0.0342	0
0.1051	0.0554	0.1059
-0.0049	-0.1303	0.0717
0.1051	0.0554	0.1059
0.009	-0.013	0.0342
-0	0.1857	-0.0016
0.0578	-0.0505	0.0701
0.1124	0	0.1417
0.1654	-0.2362	0.0016
0.1181	0.0587	0.0701
0.0033	-0.0717	0.1059
0.114	-0.1434	0.1417
-0.1124	0.0554	0.1401
-0.1075	0	0.0701
-0.0057	0.1271	0.0701
0.0008	-0.0717	0
0.1108	-0.0717	0.0358
0.057	0.0212	0.0701
-0.1149	-0.1303	0.0358
0.057	-0.1645	0.0717
0	0	0
0.11	0	0.0358
0.0489	-0.0375	0.0358
-0.0538	0.0929	0.0342
-0.0538	0.0929	0.0342
0.0008	-0.0717	0
0.0619	-0.0342	0
0.0538	-0.0929	-0.0342
-0.1067	-0.0717	0.0701
0.0008	-0.0717	0
-0.0538	0.0929	0.0342
-0.1067	-0.0717	0.0701
0.0562	0.0929	0.0701
0.1181	0.0587	0.0701
-0.0595	0.0342	0.1059
-0.0521	-0.0505	0.0342
-0.1067	-0.0717	0.0701
-0.0595	0.0342	0.1059
0.057	0.0212	0.0701
-0.044	0.0081	0.0684
-0.1067	-0.0717	0.0701
-0.1678	-0.1092	0.0701
-0.053	0.0212	0.0342
-0.0513	0.0929	0.1401
-0.1067	-0.0717	0.0701
-0.1067	0.114	0.0684
0	0	0
-0.0008	0.0717	0
-0.1157	-0.0587	0.0358
0.11	0	0.0358
-0.0611	-0.0375	0
0	0	0
-0.2256	-0.0587	0
0.1108	-0.0717	0.0358
0	0	0
0.057	0.0212	0.0701
-0.0049	0.0554	0.0701
-0.1075	0	0.0701
-0.0587	-0.0375	0.1059
0.11	0	0.0358
-0.053	0.0212	0.0342
0.0644	-0.0342	0.1059
0.0033	-0.0717	0.1059
0.0024	0	0.1059
-0.1067	-0.0717	0.0701
-0.1776	0.1613	0.0342
-0.0578	-0.1092	0.1059
-0.0049	-0.1303	0.0717
0.0033	-0.0717	0.1059
-0.0587	-0.0375	0.1059
-0.0619	0.0342	0
0.057	0.0212	0.0701
-0.044	-0.1776	0.0701
-0.1124	-0.1303	0.1417
-0.11	0	-0.0358
-0.0587	-0.0375	0.1059
0.0008	-0.0717	0
0.1246	-0.1401	0
-0.0057	0.1271	0.0701
-0.1157	-0.0587	0.0358
0.11	0	0.0358
0.0562	0.0929	0.0701
0.1108	-0.0717	0.0358
-0.0057	0.1271	0.0701
-0.0529	-0.1645	0.0358
0.057	-0.1645	0.0717
-0.0587	-0.0375	0.1059
0.057	-0.1645	0.0717
-0.1075	0	0.0701
0.057	0.0212	0.0701
0.0033	-0.0717	0.1059
-0.0057	-0.0587	0.0717
0.1189	-0.013	0.0701
0.0024	0	0.1059
0.1189	-0.013	0.0701
0.0033	-0.0717	0.1059
-0.0057	0.1271	0.0701
0.0644	-0.0342	0.1059
-0.1067	-0.0717	0.0701
-0.1149	0.0554	0.0342
0.0008	-0.0717	0
0.0114	-0.013	0.1401
-0.053	0.0212	0.0342
