SSTx	SSTy	SSTz
-0.104458242649178	-0.0379298364651655	0.0834936939011301
-0.104608922769569	-0.0380822266976308	0.0781938215126247
-0.104758618225473	-0.0382336061378454	0.0731000823319392
-0.104907323689403	-0.0383839772157273	0.0682194249767097
-0.105055033494467	-0.0385333425062418	0.0635590655277327
-0.105201741677331	-0.0386817045469484	0.059125950006396
-0.105347442014296	-0.0388290657261012	0.0549262775746984
-0.105492128052871	-0.038975428208936	0.0509651361503056
-0.105635793139659	-0.039120793890945	0.0472462022989092
-0.105778430445595	-0.0392651643660812	0.0437714541583949
-0.105920032988627	-0.039408540907792	0.0405409043710451
-0.106060593653693	-0.0395509244633815	0.0375523201707922
-0.106200105210708	-0.0396923156541563	0.0348009666992606
-0.106338560331444	-0.0398327147728671	0.0322794643130192
-0.106475951605121	-0.0399721217811398	0.0299777087024873
-0.106612271552593	-0.0401105363086462	0.0278828267876625
-0.106747512639097	-0.0402479576545359	0.0259791745869325
-0.106881667285379	-0.0403843847927332	0.0242483591445788
-0.107014727877549	-0.0405198163789504	0.022669328551109
-0.107146686775885	-0.0406542507580522	0.0212185779023594
-0.107277536322885	-0.0407876859707009	0.0198705354892933
-0.107407268850984	-0.0409201197574541	0.0185982397377535
-0.107535876689796	-0.0410515495615849	0.0173743842427975
-0.107663352172704	-0.0411819725325179	0.0161728404676307
-0.107789687642908	-0.0413113855294548	0.0149708238784114
-0.107914875459067	-0.0414397851243138	0.0137519427061342
-0.108038908000499	-0.0415671676052973	0.0125106587095577
-0.108161777672022	-0.0416935289815416	0.0112591694571062
-0.108283476908298	-0.0418188649915771	0.0100383591667328
-0.108403998177416	-0.041943171120934	0.00893559624239357
-0.108523333983965	-0.0420664426280631	0.00811384901544737
-0.108641476871948	-0.0421886745762571	0.00785513232457747
-0.108758419427479	-0.0423098618738697	0.00860148490965626
-0.108874154281234	-0.0424299993262423	0.0109032672347816
-0.10898867411079	-0.0425490816992126	0.0123624196365302
-0.109101971642863	-0.0426671037964805	0.0136061948611913
-0.109214039655751	-0.0427840605463491	0.0145920918339229
-0.109324870982504	-0.0428999470865469	0.015292428425988
-0.109434458514552	-0.0430147588512492	0.01569674796128
-0.109542795205539	-0.0431284916662532	0.0158107373158459
-0.109649874075301	-0.0432411418553704	0.0156533850549952
-0.109755688213892	-0.0433527063639034	0.0152560307331258
-0.1098602307857	-0.0434631829020922	0.0146607960145099
-0.109963495033734	-0.0435725701112497	0.0139144586457365
-0.110065474284052	-0.0436808677603446	0.0130623016379903
-0.110166161950267	-0.0437880769843009	0.0121414922510008
-0.110265551538173	-0.043894200574507	0.011175093465483
-0.110363636650509	-0.0439992433360878	0.0101735060772453
-0.11046041099193	-0.0441032125296026	0.00914006802175199
-0.110555868374269	-0.0442061184189737	0.00807822705843367
-0.110650002722044	-0.0443079749600749	0.00699796738903511
-0.110742808078238	-0.0444088006735128	0.00591731189794358
-0.110834278610263	-0.0445086197606366	0.00486137438411482
-0.110924408615991	-0.0446074635397286	0.00385988435783505
-0.11101319252992	-0.0447053722804731	0.00294298786236643
-0.111100624929579	-0.0448023975121661	0.00213724649924472
-0.111186700542179	-0.0448986048518126	0.00146217114487671
-0.11127141425156	-0.0449940772868987	0.000927253633713871
-0.111354761105434	-0.0450889185662971	0.000531193579373936
-0.111436736322919	-0.0451832557369187	0.000263307874092568
-0.111517335302404	-0.0452772386422062	0.00010479790588802
-0.111596553629823	-0.0453710321267733	3.12701421469885e-05
-0.111674387087323	-0.0454647940944571	1.54803749063296e-05
-0.111750831662297	-0.0455586319986928	2.63421308561929e-05
-0.111825883556807	-0.0456525401116224	2.73750965442331e-05
-0.111899539197361	-0.0457501715043398	-2.2631893636189e-05
-0.11197179524508	-0.0458469774961845	-0.000165311191973406
-0.112042648606269	-0.0459428034456821	-0.000435175104972152
-0.112112096443392	-0.0460374904321501	-0.000853838701926834
-0.112180136186469	-0.0461308717070568	-0.00143056336593194
-0.112246765544884	-0.0462227702467793	-0.00216693214054988
-0.112311982519621	-0.0463129978374507	-0.00305838152587488
-0.112375785415962	-0.0464013559891426	-0.00409326250600369
-0.112438172856723	-0.0464876378055481	-0.00524934405304533
-0.112499143796021	-0.0465716302289783	-0.00649143577611541
-0.112558697533574	-0.0466531161715798	-0.0077762031917665
-0.1126168337295	-0.0467318759379842	-0.0090580445571212
-0.112673552419492	-0.0468076888590329	-0.0102940799210588
-0.112728854030452	-0.0468803357660111	-0.0114480330868302
-0.112782739396732	-0.0469496016425225	-0.0124896299578684
-0.112835209776972	-0.0470152778795906	-0.013392602165138
-0.112886266871518	-0.0470771648455806	-0.0141348448365893
-0.112935912840513	-0.0471350746572113	-0.0147003447101859
-0.112984150322667	-0.0471888356579682	-0.0150810638510103
-0.11303098245496	-0.047238300434292	-0.015277852334437
-0.113076412893646	-0.0472833543704569	-0.0152971849862099
-0.113120445836533	-0.0473239228056583	-0.0151461277211534
-0.113163086046479	-0.0473599759712368	-0.0148330660761893
-0.113204338876089	-0.0473915307788255	-0.0143714377758685
-0.113244210293507	-0.0474186506492303	-0.0137852170251029
-0.11328270690945	-0.0474414440648648	-0.013112397489572
-0.113319836005637	-0.0474600622264491	-0.0124003971732581
-0.113355605564766	-0.0474746964463131	-0.0117000157891706
-0.113390024302306	-0.0474855746467241	-0.0110611819988202
-0.113423101700112	-0.0474929563271971	-0.0105289755458158
-0.113454848041748	-0.047497127357026	-0.0101411614451093
-0.113485274449763	-0.0474983958217587	-0.00992641243837885
-0.113514392925245	-0.0474970875538508	-0.00989953105338092
-0.113542216389583	-0.0474935415359794	-0.0100568932866933
-0.1135687587285	-0.0474881030434339	-0.0103784270844505
-0.113594034837978	-0.0474811118195595	-0.0108318719400784
-0.113618060671171	-0.0474728897548076	-0.0113804232571304
-0.113640853286585	-0.0474637310805843	-0.0119929531716462
-0.113662430897882	-0.0474538946366635	-0.0126470148949321
-0.113682812925049	-0.0474435980029585	-0.0133271312957306
-0.113702020046593	-0.0474330141687403	-0.0140227912704025
-0.113720074252279	-0.0474222702764605	-0.0147267231015806
-0.113736998895547	-0.0474114505236431	-0.0154342943455747
-0.113752818744885	-0.0474006058746788	-0.0161427077911993
-0.113767560033382	-0.047389766061021	-0.0168470106631469
-0.113781250504083	-0.0473789502945411	-0.0175342503117847
-0.11379391944788	-0.0473681771842868	-0.0181817098487611
-0.113805597730164	-0.04735747416233	-0.018758639042224
-0.113816317801175	-0.0473468854975889	-0.0192310005400333
-0.113826113683235	-0.0473364795275947	-0.0195671560894116
-0.113835020926157	-0.0473263518512059	-0.0197398869214454
-0.113843076518717	-0.0473166206684735	-0.0197272879512511
-0.113850318740104	-0.0473074197118504	-0.0195129560963909
-0.113856786932112	-0.0472988919745198	-0.019085573175866
-0.113862521167101	-0.04729118669823	-0.0184411762340117
-0.113867561779948	-0.0472844624269904	-0.017586461446513
-0.113871948724015	-0.0472788925422402	-0.0165410272615831
-0.113875720699591	-0.0472746714978067	-0.0153382068987473
-0.113878913991133	-0.0472720196816399	-0.0140244441250973
-0.11388156093545	-0.0472711837929659	-0.0126577477786215
