Tx	Ty	Tz
-0.0049	-0.1303	0.0717
0.11	0	0.0358
0.057	-0.1645	0.0717
-0.1678	-0.1092	0.0701
-0.0033	-0.2737	0.0717
0.1645	-0.1646	0.0016
0.1727	-0.1059	0.0358
-0.2778	-0.1092	0.0342
0.0554	-0.2362	-0.0342
0.0008	-0.0717	0
-0.114	-0.202	0.0358
0.1108	-0.0717	0.0358
0.0016	-0.1434	0
0.0024	-0.1857	0.1075
-0.0521	-0.2362	0.0358
0.0016	-0.1434	0
-0.0529	-0.1645	0.0358
0.0619	-0.2199	0.0016
0.1108	-0.0717	0.0358
-0.0529	-0.1645	0.0358
-0.1621	-0.2362	0
0.0041	-0.1434	0.1059
-0.1067	-0.0717	0.0701
0.1108	-0.0717	0.0358
-0.0619	-0.1515	0.0016
-0.0611	-0.0375	0
0.0546	0.0212	-0.0358
-0.0611	-0.0375	0
0.057	-0.1645	0.0717
-0.0538	-0.0929	0.0358
0.0008	-0.0717	0
-0.2167	-0.0717	0.0342
-0.1173	-0.3161	-0.0684
-0.1149	-0.1303	0.0358
0.0008	-0.0717	0
-0.1149	-0.1303	0.0358
-0.0529	0.0212	0.0342
-0.0529	-0.1645	0.0358
-0.0538	0.0929	0.0342
0.0635	-0.3633	0.0016
0.057	-0.1645	0.0717
0.0562	-0.0929	0.0717
-0.0016	-0.2574	-0.1043
-0.0529	-0.1645	0.0358
-0.0529	-0.1645	0.0358
-0.2167	-0.0717	0.0342
-0.0529	-0.1645	0.0358
0.0016	-0.1434	0
-0.1092	-0.0717	-0.0358
-0.1149	-0.1303	0.0358
-0.0529	-0.1645	0.0358
0.0644	-0.0342	0.1059
0.0008	-0.2574	0.0016
-0.0611	-0.0375	0
0.1108	-0.0717	0.0358
-0.1678	-0.1092	0.0701
-0.2273	-0.1303	-0.1059
-0.0073	-0.1303	-0.0342
0.0546	-0.1646	-0.0342
0.0008	-0.0717	0
0.1108	0.114	0.0342
0.0033	-0.0717	0.1059
-0.1067	-0.0717	0.0701
-0.1686	-0.0375	0.0701
-0.1711	-0.0375	-0.0358
0.0024	0	0.1059
0.0489	-0.0375	0.0358
-0.1295	0.1955	0.0701
-0.0529	-0.1645	0.0358
-0.1149	0.0554	0.0342
-0.0472	-0.1059	-0.0358
0.0546	-0.1646	-0.0342
0.0008	-0.0717	0
0.0008	-0.0717	0
-0.0611	-0.0375	0
-0.1711	-0.0375	-0.0358
-0.0521	-0.2362	0.0358
-0.1092	-0.0717	-0.0358
-0.0529	-0.1645	0.0358
0.0481	0.0342	0.0358
-0.2232	0.1271	0.1043
0.1157	-0.1271	-0.0342
0.057	-0.1645	0.0717
-0.1165	0.013	0.0358
-0.1075	0	0.0701
-0.0529	0.0212	0.0342
-0.1067	-0.0717	0.0701
0.1108	-0.0717	0.0358
-0.1686	-0.2232	0.0717
-0.281	-0.0375	-0.0717
-0.1149	-0.1303	0.0358
0.0008	-0.0717	0
-0.0049	0.0554	0.0701
-0.0611	-0.0375	0
-0.0619	-0.1515	0.0016
-0.0538	-0.0929	0.0358
0.0562	-0.0929	0.0717
0.0016	-0.3291	0.0016
-0.114	-0.202	0.0358
-0.0041	-0.0163	0.0701
0.0008	-0.2574	0.0016
-0.0603	-0.1092	0
0	0	0
0	0	0
-0.0554	-0.1646	-0.0701
0	-0.1857	0.0016
0.0008	-0.0717	0
-0.0529	-0.1645	0.0358
-0.1157	-0.0587	0.0358
0	0	0
-0.0611	-0.0375	0
-0.0611	-0.0375	0
-0.1149	-0.1303	0.0358
-0.0529	0.0212	0.0342
-0.1629	-0.1645	0
-0.1149	-0.1303	0.0358
-0.0619	0.0342	0
-0.2248	0.0554	-0.0016
-0.0529	-0.1645	0.0358
-0.1075	0	0.0701
0.057	-0.1645	0.0717
-0.1149	-0.1303	0.0358
-0.0611	-0.2232	0.0016
0.0033	-0.0717	0.1059
-0.0529	-0.1645	0.0358
0.0008	-0.0717	0
-0.1067	-0.0717	0.0701
0.1108	-0.0717	0.0358
-0.0546	-0.2362	-0.0701
-0.0529	0.0212	0.0342
-0.0399	-0.1613	0
0.0008	-0.2574	0.0016
0.0554	-0.2362	-0.0342
0.0546	-0.1646	-0.0342
-0.1629	-0.3503	0.0016
-0.0611	-0.0375	0
0	0	0
0.0008	-0.0717	0
-0.0538	-0.0929	0.0358
-0.0529	0.0212	0.0342
0	-0.1857	0.0016
-0.0529	-0.1645	0.0358
-0.0611	-0.0375	0
-0.1149	0.0554	0.0342
-0.0529	0.0212	0.0342
-0.0619	0.0342	0
-0.1711	-0.0375	-0.0358
-0.0603	-0.1092	0
0.0008	-0.0717	0
-0.1067	-0.0717	0.0701
-0.1711	-0.0375	-0.0358
0.0554	-0.2362	-0.0342
-0.2256	-0.0587	0
0	0	0
0.0008	-0.2574	0.0016
-0.0611	-0.0375	0
0.0497	-0.1092	0.0358
0.0008	-0.0717	0
-0.1157	-0.0587	0.0358
-0.0065	-0.202	-0.0342
-0.0611	-0.0375	0
-0.1629	-0.1645	0
0.1108	-0.0717	0.0358
0.0008	-0.2574	0.0016
-0.1157	-0.0587	0.0358
0.0016	0.0424	-0.0016
-0.11	0	-0.0358
-0.0529	-0.1645	0.0358
-0.1719	0.0342	-0.0358
-0.1149	-0.1303	0.0358
0.0538	-0.2786	-0.0326
-0.2248	-0.1303	0
-0.1075	0	0.0701
-0.0611	-0.0375	0
-0.1719	0.0342	-0.0358
-0.1637	-0.0929	0
-0.0611	-0.0375	0
0.057	-0.1645	0.0717
-0.1637	0.0929	-0.0016
0	0	0
